qID,classID,randomID,atext
65578703,1971,16,First
65578703,3512,16,First
65578703,5312,14,Fourt+
65578703,3465,21,Fourth+
65578703,5312,11,Fourth+
65578703,5312,15,Fourth+
65578703,5037,32,Fourth+
65578703,1981,32,Fourth+
65578703,1981,33,Fourth+
65578703,1620,8,Freshman
65578703,5037,30,Graduate
65578703,5037,31,Graduate
65578703,5017,29,Graduate
65578703,1971,20,Second
65578703,1672,4,Second
65578703,1672,5,Second
65578703,3465,19,Second
65578703,3465,16,Second
65578703,1859,16,Second
65578703,3511,19,Second
65578703,3512,17,Second
65578703,3514,26,Second
65578703,3513,28,Second
65578703,3514,25,Second
65578703,3471,22,Second
65578703,3471,25,Second
65578703,1855,16,Second
65578703,1621,10,Second
65578703,1621,9,Second
65578703,2781,3,Third
65578703,2781,1,Third
65578703,1672,6,Third
65578703,3465,10,Third
65578703,5312,12,Third
65578703,3471,23,Third
12838632,1971,16,Male
12838632,3512,16,Male
12838632,5312,14,Female
12838632,3465,21,Male
12838632,5312,11,Male
12838632,5312,15,Male
12838632,5037,32,Female
12838632,1981,32,Female
12838632,1981,33,Male
12838632,1620,8,Male
12838632,5037,30,Female
12838632,5037,31,Male
12838632,5017,29,Male
12838632,1971,20,Female
12838632,1672,4,Female
12838632,1672,5,Female
12838632,3465,19,Female
12838632,3465,16,Male
12838632,1859,16,Male
12838632,3511,19,Female
12838632,3512,17,Female
12838632,3514,26,Male
12838632,3513,28,Female
12838632,3514,25,Female
12838632,3471,22,Male
12838632,3471,25,Female
12838632,1855,16,Male
12838632,1621,10,Male
12838632,1621,9,Female
12838632,2781,3,Male
12838632,2781,1,Male
12838632,1672,6,Male
12838632,3465,10,Male
12838632,5312,12,Female
12838632,3471,23,Female
50839081,1971,16,31-40%
50839081,3512,16,6-10%
50839081,5312,14,11-15%
50839081,3465,21,16-20%
50839081,5312,11,61-80%
50839081,5312,15,41-50%
50839081,5037,32,11-15%
50839081,1981,32,11-15%
50839081,1981,33,16-20%
50839081,1620,8,16-20%
50839081,5037,30,16-20%
50839081,5037,31,21-25%
50839081,5017,29,0%
50839081,1971,20,31-40%
50839081,1672,4,41-50%
50839081,1672,5,51-60%
50839081,3465,19,6-10%
50839081,3465,16,0%
50839081,1859,16,11-15%
50839081,3511,19,0%
50839081,3512,17,26-30%
50839081,3514,26,1-5%
50839081,3513,28,11-15%
50839081,3514,25,1-5%
