StudentID,Class Number,Course Number,Section Number,Semester,Year,InstructorID,Instructor fName,Instructor lname,Year (Multiple Choice),Sex (Multiple Choice),Class Missed (Multiple Choice),Major (Multiple Choice),Expected Grade (Multiple Choice),Reason Taking Course (Multiple Choice),How well organized was the class? (1-10),How concerned was the instructor with what students learned from the course? (1-10),Were the grading criteria for the course clear? (1-10),Was the instructor enthusiastic about the material? (1-10),How much did the course promote your progress on acquiring factual knowledge? (1-10),How much did the course promote your progress on understanding basic principles and concepts? (1-10),I would recommend this course to another student. (Agree/Disagree),I would recommend this instructor to another student. (Agree/Disagree),Comment on the strengths of the instructor (Free-text),Comment on the weaknesses of the instructor (text),Comment on the strengths of the course (Free-text),Comment on the weaknesses of the course (text)
c0a50fa07ba2e84e,1971,CS170,1,Spring,2017,043c3,Davide,Fossati,First,Male,31-40%,Undeclared,A,Pre-Prof Requirement,10,8,9,7,6,5,Agree,Disagree,,,,
c0a50fa07ba2e84e,3512,MATH211,1,Fall,2017,72d1e,Juan,Villeta-Garcia,First,Male,6-10%,Economics & Mathematics,A,Pre-Prof Requirement,6,4,7,8,2,4,,,,,,
ea6974a0c3b474e1,5312,CS377,1,Spring,2016,c48fb,Joyce,Ho,Fourt+,Female,11-15%,Mathematics & Computer Science,B+,Pre-Prof Requirement,8,9,6,9,1,5,Agree,Disagree,,I would take it with Chueng for an easier grade,"
",
d435678b497ec126,3465,CS171,1,Fall,2017,c48fb,Joyce,Ho,Fourth+,Male,16-20%,Applied Mathematics,C,College Requirement Major,6,5,4,6,4,3,Neutral ,Disagree,,,,"Don't know why this class is required for Applied Mathematics major, it's useless"
1f049ea76e595729,5312,CS377,1,Spring,2016,c48fb,Joyce,Ho,Fourth+,Male,61-80%,Sociology,C-,Interested,7,6,5,4,5,8,Neutral,Neutral,,,,
1424f91742952bdd,5312,CS377,1,Spring,2016,c48fb,Joyce,Ho,Fourth+,Male,41-50%,Business Administration,C,Interested,10,10,10,10,3,5,Strongly Agree,Strongly Agree,Best teacher I've had,Nothing to complain about,Material is so relevant,A lot of work 
aff2bc00e46c6207,5037,CS534,1,Spring,2017,c48fb,Joyce,Ho,Fourth+,Female,11-15%,Mathematics & Computer Science,C+,Interested,9,1,2,6,2,6,Disagree,Disagree,Nothing good to say about her,I didn't understand any of the algorithms,,Too much math!
aff2bc00e46c6207,1981,CS378,1,Spring,2017,aff4c,Li,Xiong,Fourth+,Female,11-15%,Mathematics & Computer Science,B,College Requirement Major,10,7,6,7,6,7,Neutral,Agree,"She's nice and friendly, fun in class",,,Too much programming involved with implementing the different algorithms
2f3bc4bf5ce24531,1981,CS378,1,Spring,2017,aff4c,Li,Xiong,Fourth+,Male,16-20%,Economics,C+,Interested,5,4,3,1,1,5,Disagree,Strongly Disagree,She presents well,Assignments were too open-ended,,Not relevant to anything I'm doing
322d6cb7a03ba380,1620,CHEM221,0,Fall,2016,81e9f,Matthew,Weinschenk,Freshman,Male,16-20%,Biology,D+,Pre-Prof Requirement,5,6,6,,3,2,Strongly Disagree,Neutral,He's nice enough,,,I hate organic chemistry
